"@timestamp",stream,message
"2022-03-04 13:00:04.165",stdout,"| command_keywords                      | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| cluster_manticore_gcomm_uuid          | a129badd-9262-11ec-8da8-c36e53279ca4 |
"
"2022-03-04 13:00:04.165",stdout,"+---------------------------------------+--------------------------------------+
"
"2022-03-04 13:00:04.165",stdout,"| cluster_manticore_local_state_comment | Synced                               |
"
"2022-03-04 13:00:04.165",stdout,"| command_commit                        | 1579                                 |
"
"2022-03-04 13:00:04.165",stdout,"| command_cluster                       | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| command_status                        | 11041                                |
"
"2022-03-04 13:00:04.165",stdout,"| command_persist                       | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| command_update                        | 0                                    |
"
"2022-03-04 13:00:04.165",stdout,"| command_suggest                       | 0                                    |
"
"2022-03-04 13:00:04.166",stdout,"			""indexes"":	[""main"", ""site""]
"
"2022-03-04 13:00:04.166",stdout,"		}
"
"2022-03-04 13:00:04.166",stdout,"		""site"":	{
"
"2022-03-04 13:00:04.166",stdout,"	},
"
"2022-03-04 13:00:04.166",stdout,"			""type"":	""rt"",
"
"2022-03-04 13:00:04.166",stdout,"	}
"
"2022-03-04 13:00:04.166",stdout,"	""indexes"":	{
"
"2022-03-04 13:00:04.166",stdout,"{
"
"2022-03-04 13:00:04.166",stdout,"			""path"":	""main""
"
"2022-03-04 13:00:04.166",stdout,"		},
"
"2022-03-04 13:00:04.166",stdout,"		}
"
"2022-03-04 13:00:04.166",stdout,"			""type"":	""rt"",
"
"2022-03-04 13:00:04.166",stdout,"			""path"":	""site""
"
"2022-03-04 13:00:04.166",stdout,"		""manticore"":	{
"
"2022-03-04 13:00:04.166",stdout,"			""options"":	"""",
"
"2022-03-04 13:00:04.166",stdout,"	""clusters"":	{
"
"2022-03-04 13:00:04.166",stdout,"		""main"":	{
"
"2022-03-04 13:01:04.067",stdout,"}RPL: replicating 1, seq 1584, commands 4749
"
"2022-03-04 13:01:04.171",stdout,"root         1 30.3 15.3 6363996 4995520 pts/0 Ssl+ 03:18 176:48 searchd --nodetach --logreplication --config /opt/config/manticore.conf
"
"2022-03-04 13:01:04.172",stdout,"root     10164  0.0  0.0  13212  1012 ?        S    13:01   0:00 grep searchd
"
"2022-03-04 13:01:04.176",stdout,"| query_time_1min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""}                                |
"
"2022-03-04 13:01:04.176",stdout,"| tid_saved                   | 197642713                                                                                               |
"
"2022-03-04 13:01:04.176",stdout,"| index_type                  | rt                                                                                                      |
"
"2022-03-04 13:01:04.176",stdout,"| ram_bytes                   | 590460274                                                                                               |
"
"2022-03-04 13:01:04.176",stdout,"| disk_mapped_cached_hitlists | 0                                                                                                       |
"
"2022-03-04 13:01:04.176",stdout,"| tid                         | 197642733                                                                                               |
"
"2022-03-04 13:01:04.176",stdout,"| mem_limit_rate              | 95.00%                                                                                                  |
"
"2022-03-04 13:01:04.176",stdout,"| disk_mapped_doclists        | 0                                                                                                       |
"
"2022-03-04 13:01:04.176",stdout,"+-----------------------------+---------------------------------------------------------------------------------------------------------+
"
"2022-03-04 13:01:04.176",stdout,"| found_rows_1min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""}                                |
"
"2022-03-04 13:01:04.176",stdout,"| query_time_15min            | {""queries"":2, ""avg_sec"":0.009, ""min_sec"":0.005, ""max_sec"":0.014, ""pct95_sec"":0.014, ""pct99_sec"":0.014}  |
"
"2022-03-04 13:01:04.176",stdout,"| disk_mapped_cached_doclists | 0                                                                                                       |
"
"2022-03-04 13:01:04.176",stdout,"| query_time_5min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""}                                |
"
"2022-03-04 13:01:04.176",stdout,"| disk_mapped_hitlists        | 0                                                                                                       |
"
"2022-03-04 13:01:04.176",stdout,"| mem_limit                   | 134217728                                                                                               |
"
"2022-03-04 13:01:04.176",stdout,"| disk_mapped                 | 481072074                                                                                               |
"
"2022-03-04 13:01:04.176",stdout,"| killed_rate                 | 0.43%                                                                                                   |
"
"2022-03-04 13:01:04.176",stdout,"+-----------------------------+---------------------------------------------------------------------------------------------------------+
"
"2022-03-04 13:01:04.176",stdout,"| ram_chunk_segments_count    | 8                                                                                                       |
"
"2022-03-04 13:01:04.176",stdout,"| indexed_bytes               | 175723394217                                                                                            |
"
"2022-03-04 13:01:04.176",stdout,"| ram_bytes_retired           | 0                                                                                                       |
"
"2022-03-04 13:01:04.176",stdout,"| disk_bytes                  | 7434788089                                                                                              |
"
"2022-03-04 13:01:04.176",stdout,"| killed_documents            | 14363                                                                                                   |
"
"2022-03-04 13:01:04.176",stdout,"| ram_chunk                   | 109370394                                                                                               |
"
"2022-03-04 13:01:04.176",stdout,"| query_time_total            | {""queries"":29, ""avg_sec"":0.014, ""min_sec"":0.000, ""max_sec"":0.221, ""pct95_sec"":0.117, ""pct99_sec"":0.221} |
"
"2022-03-04 13:01:04.176",stdout,"| disk_chunks                 | 1                                                                                                       |
"
"2022-03-04 13:01:04.176",stdout,"| disk_mapped_cached          | 481083392                                                                                               |
"
"2022-03-04 13:01:04.176",stdout,"| Variable_name               | Value                                                                                                   |
"
"2022-03-04 13:01:04.176",stdout,"| indexed_documents           | 3298355                                                                                                 |
"
"2022-03-04 13:01:04.178",stdout,"| found_rows_15min            | {""queries"":2, ""avg"":828, ""min"":34, ""max"":1622, ""pct95"":1622, ""pct99"":1622}                              |
"
"2022-03-04 13:01:04.178",stdout,"| found_rows_total            | {""queries"":29, ""avg"":34248, ""min"":0, ""max"":989460, ""pct95"":26329, ""pct99"":989460}                       |
"
"2022-03-04 13:01:04.178",stdout,"| found_rows_5min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""}                                |
"
"2022-03-04 13:01:04.178",stdout,"+-----------------------------+---------------------------------------------------------------------------------------------------------+
"
"2022-03-04 13:01:04.181",stdout,"| indexed_bytes               | 6374280258                                                               |
"
"2022-03-04 13:01:04.181",stdout,"| disk_mapped_cached          | 24576                                                                    |
"
"2022-03-04 13:01:04.181",stdout,"| disk_mapped                 | 1582040                                                                  |
"
"2022-03-04 13:01:04.181",stdout,"+-----------------------------+--------------------------------------------------------------------------+
"
"2022-03-04 13:01:04.181",stdout,"| killed_rate                 | 7.10%                                                                    |
"
"2022-03-04 13:01:04.181",stdout,"| disk_mapped_hitlists        | 0                                                                        |
"
"2022-03-04 13:01:04.181",stdout,"| ram_chunk_segments_count    | 23                                                                       |
"
"2022-03-04 13:01:04.181",stdout,"| ram_bytes                   | 73424514                                                                 |
"
"2022-03-04 13:01:04.181",stdout,"| indexed_documents           | 2673                                                                     |
"
"2022-03-04 13:01:04.181",stdout,"| mem_limit_rate              | 95.00%                                                                   |
"
"2022-03-04 13:01:04.181",stdout,"| mem_limit                   | 134217728                                                                |
"
"2022-03-04 13:01:04.181",stdout,"| disk_chunks                 | 1                                                                        |
"
"2022-03-04 13:01:04.181",stdout,"| disk_mapped_cached_hitlists | 0                                                                        |
"
"2022-03-04 13:01:04.181",stdout,"| Variable_name               | Value                                                                    |
"
"2022-03-04 13:01:04.181",stdout,"| disk_mapped_doclists        | 0                                                                        |
"
"2022-03-04 13:01:04.181",stdout,"| index_type                  | rt                                                                       |
"
"2022-03-04 13:01:04.181",stdout,"| disk_mapped_cached_doclists | 0                                                                        |
"
"2022-03-04 13:01:04.181",stdout,"+-----------------------------+--------------------------------------------------------------------------+
"
"2022-03-04 13:01:04.181",stdout,"| killed_documents            | 190                                                                      |
"
"2022-03-04 13:01:04.181",stdout,"| disk_bytes                  | 131813490                                                                |
"
"2022-03-04 13:01:04.181",stdout,"| ram_chunk                   | 73393450                                                                 |
"
"2022-03-04 13:01:04.182",stdout,"| query_time_15min            | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:01:04.182",stdout,"+-----------------------------+--------------------------------------------------------------------------+
"
"2022-03-04 13:01:04.182",stdout,"| tid                         | 43575                                                                    |
"
"2022-03-04 13:01:04.182",stdout,"| found_rows_15min            | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:01:04.182",stdout,"| tid_saved                   | 43126                                                                    |
"
"2022-03-04 13:01:04.182",stdout,"| ram_bytes_retired           | 0                                                                        |
"
"2022-03-04 13:01:04.182",stdout,"| query_time_5min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:01:04.182",stdout,"| found_rows_1min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:01:04.182",stdout,"| query_time_1min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:01:04.182",stdout,"| found_rows_5min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:01:04.182",stdout,"| found_rows_total            | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:01:04.182",stdout,"| query_time_total            | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =   29878560
"
"2022-03-04 13:01:04.183",stdout,"in use bytes     =     307040
"
